,Subject,Condition,Trial,Time_Box,Days_Past,RT,Total.Number.of.People,Unique.Within.Day,Unique.Overall,Specific.Description,Vague.Description
243,2030,Backward Recall,backward,evening,3,5928.6,0,0,0,0,0
244,2030,Backward Recall,backward,midday,3,6711.8,1,1,0,1,0
245,2030,Backward Recall,backward,morning,3,28679.5,7,7,1,7,0
246,2030,Backward Recall,backward,evening,4,36678.9,8,8,5,8,0
247,2030,Backward Recall,backward,midday,4,18831.6,4,0,1,4,0
248,2030,Backward Recall,backward,morning,4,11278.6,2,0,0,2,0
249,2031,Free Recall,FR,FR,1,66399.985,9,0,9,9,0
250,2032,Backward Recall,backward,evening,1,54562,4,4,4,3,1
251,2032,Backward Recall,backward,midday,1,24117.2,1,1,1,1,0
252,2032,Backward Recall,backward,morning,1,36838.4,2,2,2,2,0
253,2032,Backward Recall,backward,evening,2,11870.6,2,2,0,2,0
254,2032,Backward Recall,backward,midday,2,6214.6,2,0,0,2,0
255,2032,Backward Recall,backward,morning,2,4430.7,2,0,0,2,0
256,2032,Backward Recall,backward,evening,3,6730,2,2,0,2,0
257,2032,Backward Recall,backward,midday,3,4951.2,1,0,0,1,0
258,2032,Backward Recall,backward,morning,3,8759.1,0,0,0,0,0
259,2032,Backward Recall,backward,evening,4,13473.8,2,1,0,2,0
260,2032,Backward Recall,backward,midday,4,5593.1,2,0,0,2,0
261,2032,Backward Recall,backward,morning,4,4611.6,2,0,0,2,0
262,2033,Free Recall,FR,FR,1,141200.5,1,0,1,1,0
263,2034,Backward Recall,backward,evening,1,26583,6,6,6,2,4
264,2034,Backward Recall,backward,midday,1,18623.7,6,6,6,0,6
265,2034,Backward Recall,backward,morning,1,9359,3,2,2,3,0
266,2034,Backward Recall,backward,evening,2,14506.6,5,5,5,5,0
267,2034,Backward Recall,backward,midday,2,17049,6,1,4,0,6
268,2034,Backward Recall,backward,morning,2,6232.5,0,0,0,0,0
269,2034,Backward Recall,backward,evening,3,4587.1,0,0,0,0,0
270,2034,Backward Recall,backward,midday,3,4022.3,0,0,0,0,0
271,2034,Backward Recall,backward,morning,3,5223.3,2,2,0,0,2
272,2034,Backward Recall,backward,evening,4,6154.7,4,4,4,4,0
273,2034,Backward Recall,backward,midday,4,3671,0,0,0,0,0
274,2034,Backward Recall,backward,morning,4,2977.1,0,0,0,0,0
275,2035,Forward Recall,forward,morning,4,17324,13,13,13,13,0
276,2035,Forward Recall,forward,midday,4,21675,4,4,4,4,0
277,2035,Forward Recall,forward,evening,4,11868,3,0,0,3,0
278,2035,Forward Recall,forward,morning,3,14319,8,8,0,3,0
279,2035,Forward Recall,forward,midday,3,6728,1,1,1,1,0
280,2035,Forward Recall,forward,evening,3,30869,2,2,2,2,0
281,2035,Forward Recall,forward,morning,2,22483,5,5,0,5,0
282,2035,Forward Recall,forward,midday,2,8114,4,0,0,4,0
283,2035,Forward Recall,forward,evening,2,9802,2,0,0,2,0
284,2035,Forward Recall,forward,morning,1,10235,6,6,2,6,0
285,2035,Forward Recall,forward,midday,1,5464,2,0,0,2,0
286,2035,Forward Recall,forward,evening,1,7226,2,0,0,2,0
287,2036,Free Recall,FR,FR,1,126427.5,15,0,15,10,5
288,2037,Backward Recall,backward,evening,1,22194.3,0,0,0,0,0
289,2037,Backward Recall,backward,midday,1,23896.5,12,12,12,10,2
290,2037,Backward Recall,backward,morning,1,14294.5,2,1,1,2,0
291,2037,Backward Recall,backward,evening,2,69431.1,5,5,4,5,0
292,2037,Backward Recall,backward,midday,2,10666.4,1,0,0,1,0
293,2037,Backward Recall,backward,morning,2,15149.4,0,0,0,0,0
294,2037,Backward Recall,backward,evening,3,38065.5,2,2,1,1,0
295,2037,Backward Recall,backward,midday,3,13946.5,1,0,0,1,0
296,2037,Backward Recall,backward,morning,3,9358.5,1,0,0,1,0
297,2037,Backward Recall,backward,evening,4,49155.1,13,13,8,13,0
298,2037,Backward Recall,backward,midday,4,23843.8,5,1,1,5,0
299,2037,Backward Recall,backward,morning,4,278814.7,1,0,0,1,0
300,2038,Forward Recall,forward,morning,4,28670,7,7,7,7,0
301,2038,Forward Recall,forward,midday,4,20210,6,4,4,6,0
302,2038,Forward Recall,forward,evening,4,10046,2,0,0,2,0
303,2038,Forward Recall,forward,morning,3,7684,1,1,0,1,0
304,2038,Forward Recall,forward,midday,3,6075,2,1,0,1,0
305,2038,Forward Recall,forward,evening,3,14344,6,5,4,6,0
306,2038,Forward Recall,forward,morning,2,12170,2,2,0,2,0
307,2038,Forward Recall,forward,midday,2,13260,5,3,2,3,0
308,2038,Forward Recall,forward,evening,2,15093,4,2,2,4,0
309,2038,Forward Recall,forward,morning,1,7615,2,2,0,2,0
310,2038,Forward Recall,forward,midday,1,12397,4,2,0,4,0
311,2038,Forward Recall,forward,evening,1,6639,2,0,0,2,0
312,2039,Free Recall,FR,FR,1,129624.3,21,0,21,21,0
313,2040,Free Recall,FR,FR,1,52409.7,7,0,7,7,0
314,2041,Backward Recall,backward,evening,1,47419.2,11,11,11,10,1
315,2041,Backward Recall,backward,midday,1,34610.4,7,5,5,7,0
316,2041,Backward Recall,backward,morning,1,21820.8,1,0,0,1,0
317,2041,Backward Recall,backward,evening,2,96703.5,6,6,3,6,0
318,2041,Backward Recall,backward,midday,2,24610.1,4,1,1,4,0
319,2041,Backward Recall,backward,morning,2,9097,1,0,0,1,0
320,2041,Backward Recall,backward,evening,3,52497.7,6,6,3,6,0
321,2041,Backward Recall,backward,midday,3,21312,3,0,0,3,0
322,2041,Backward Recall,backward,morning,3,4541,0,0,0,0,0
323,2041,Backward Recall,backward,evening,4,36287.2,4,4,2,0,0
324,2041,Backward Recall,backward,midday,4,11745,2,0,0,2,0
325,2041,Backward Recall,backward,morning,4,4530.4,1,0,0,1,0
326,2042,Forward Recall,forward,morning,4,16122.3,0,0,0,0,0
327,2042,Forward Recall,forward,midday,4,79551,8,8,8,8,0
328,2042,Forward Recall,forward,evening,4,90619.2,6,5,3,6,0
329,2042,Forward Recall,forward,morning,3,11393.6,0,0,0,0,0
330,2042,Forward Recall,forward,midday,3,30732.2,1,1,0,1,0
331,2042,Forward Recall,forward,evening,3,13385.7,2,1,1,2,0
332,2042,Forward Recall,forward,morning,2,9261.5,0,0,0,0,0
333,2042,Forward Recall,forward,midday,2,18523.7,1,1,0,1,0
334,2042,Forward Recall,forward,evening,2,17824.9,2,1,0,2,0
335,2042,Forward Recall,forward,morning,1,5198.5,0,0,0,0,0
336,2042,Forward Recall,forward,midday,1,25785.1,2,2,0,2,0
337,2042,Forward Recall,forward,evening,1,12545.1,2,0,0,2,0
338,2043,Forward Recall,forward,morning,4,43026.8,6,6,6,6,0
339,2043,Forward Recall,forward,midday,4,12025.2,1,1,1,1,0
340,2043,Forward Recall,forward,evening,4,20773.2,3,2,2,2,1
341,2043,Forward Recall,forward,morning,3,10367.3,1,1,0,1,0
342,2043,Forward Recall,forward,midday,3,12526.7,3,2,2,1,0
343,2043,Forward Recall,forward,evening,3,10586.8,2,1,1,2,0
344,2043,Forward Recall,forward,morning,2,8131.3,1,1,0,1,0
345,2043,Forward Recall,forward,midday,2,14456.8,2,1,1,2,0
346,2043,Forward Recall,forward,evening,2,10469,2,1,1,1,1
347,2043,Forward Recall,forward,morning,1,9525.7,1,1,0,1,0
348,2043,Forward Recall,forward,midday,1,7465.3,1,1,0,1,0
349,2043,Forward Recall,forward,evening,1,13326.1,2,1,1,1,1
350,2044,Free Recall,FR,FR,1,238414,18,0,18,18,0
351,2045,Free Recall,FR,FR,1,252610,23,0,23,16,7
352,2046,Free Recall,FR,FR,1,104742.8,8,0,8,6,2
353,2047,Forward Recall,forward,morning,4,69064.5,13,13,13,13,0
354,2047,Forward Recall,forward,midday,4,135956.2,7,4,4,7,0
355,2047,Forward Recall,forward,evening,4,27671.3,3,2,2,3,0
356,2047,Forward Recall,forward,morning,3,87017,5,5,5,4,0
357,2047,Forward Recall,forward,midday,3,32579.1,5,4,2,5,0
358,2047,Forward Recall,forward,evening,3,66976.5,2,0,0,2,0
359,2047,Forward Recall,forward,morning,2,31333.6,5,5,3,3,2
360,2047,Forward Recall,forward,midday,2,24206.6,4,4,2,4,0
361,2047,Forward Recall,forward,evening,2,28540.2,3,2,2,1,3
362,2047,Forward Recall,forward,morning,1,24157,3,3,2,3,0
363,2047,Forward Recall,forward,midday,1,37264.6,4,2,1,4,0
364,2047,Forward Recall,forward,evening,1,20719.1,2,2,2,1,1
365,2048,Forward Recall,forward,morning,4,23371.2,0,0,0,0,0
366,2048,Forward Recall,forward,midday,4,10109.6,1,1,1,1,0
367,2048,Forward Recall,forward,evening,4,33119.9,0,0,0,0,0
368,2048,Forward Recall,forward,morning,3,29365.1,1,1,1,1,0
369,2048,Forward Recall,forward,midday,3,10494.6,0,0,0,0,0
370,2048,Forward Recall,forward,evening,3,6998.5,0,0,0,0,0
371,2048,Forward Recall,forward,morning,2,9605.8,0,0,0,0,0
372,2048,Forward Recall,forward,midday,2,14477.1,1,1,1,1,0
373,2048,Forward Recall,forward,evening,2,11669.6,0,0,0,0,0
374,2048,Forward Recall,forward,morning,1,7090.5,1,1,1,1,0
375,2048,Forward Recall,forward,midday,1,12385,0,0,0,0,0
376,2048,Forward Recall,forward,evening,1,18106.4,0,0,0,0,0
377,2049,Free Recall,FR,FR,1,44026.8,6,0,6,4,2
378,2050,Backward Recall,backward,evening,1,452836.8,32,32,32,32,0
379,2050,Backward Recall,backward,midday,1,52317.3,18,7,7,18,0
380,2050,Backward Recall,backward,morning,1,61294.2,17,4,4,17,0
381,2050,Backward Recall,backward,evening,2,1012258.2,14,14,2,14,0
382,2050,Backward Recall,backward,midday,2,30904,14,1,1,14,0
383,2050,Backward Recall,backward,morning,2,30078.1,15,0,0,15,0
384,2050,Backward Recall,backward,evening,3,539605.9,33,33,12,33,0
385,2050,Backward Recall,backward,midday,3,31614.5,21,0,0,21,0
386,2050,Backward Recall,backward,morning,3,8605.4,21,0,0,21,0
387,2050,Backward Recall,backward,evening,4,4742.9,21,21,0,21,0
388,2050,Backward Recall,backward,midday,4,4514.5,21,0,0,21,0
389,2050,Backward Recall,backward,morning,4,2301.7,21,0,0,21,0
390,2051,Backward Recall,backward,evening,1,29354.3,2,2,2,2,0
391,2051,Backward Recall,backward,midday,1,45328.5,3,3,3,3,0
392,2051,Backward Recall,backward,morning,1,27440.9,2,2,2,1,1
393,2051,Backward Recall,backward,evening,2,34059.6,2,2,0,2,0
394,2051,Backward Recall,backward,midday,2,16262.6,2,0,0,2,0
395,2051,Backward Recall,backward,morning,2,8694.5,2,0,0,2,0
396,2051,Backward Recall,backward,evening,3,17257.5,3,3,2,3,0
397,2051,Backward Recall,backward,midday,3,10726.8,1,1,0,1,0
398,2051,Backward Recall,backward,morning,3,6667.9,1,0,0,1,0
399,2051,Backward Recall,backward,evening,4,274286.8,3,3,1,3,0
400,2051,Backward Recall,backward,midday,4,69472.5,3,0,0,3,0
401,2051,Backward Recall,backward,morning,4,23046.1,3,0,0,3,0
402,2052,Backward Recall,backward,evening,1,17945,3,3,3,3,0
403,2052,Backward Recall,backward,midday,1,11700,0,0,0,0,0
404,2052,Backward Recall,backward,morning,1,4102,0,0,0,0,0
405,2052,Backward Recall,backward,evening,2,12384,0,0,0,0,0
406,2052,Backward Recall,backward,midday,2,9028,0,0,0,0,0
407,2052,Backward Recall,backward,morning,2,8807,0,0,0,0,0
408,2052,Backward Recall,backward,evening,3,9600,0,0,0,0,0
409,2052,Backward Recall,backward,midday,3,6598,0,0,0,0,0
410,2052,Backward Recall,backward,morning,3,6689,0,0,0,0,0
411,2052,Backward Recall,backward,evening,4,9439,0,0,0,0,0
412,2052,Backward Recall,backward,midday,4,7282,0,0,0,0,0
413,2052,Backward Recall,backward,morning,4,9920,0,0,0,0,0
414,2053,Forward Recall,forward,morning,4,19378.4,4,4,4,4,0
415,2053,Forward Recall,forward,midday,4,13933.3,0,0,0,0,0
416,2053,Forward Recall,forward,evening,4,5420.8,2,2,2,2,0
417,2053,Forward Recall,forward,morning,3,10246.8,2,2,0,2,0
418,2053,Forward Recall,forward,midday,3,9925.9,0,0,0,0,0
419,2053,Forward Recall,forward,evening,3,2581.9,2,0,0,2,0
420,2053,Forward Recall,forward,morning,2,2966.3,2,2,0,2,0
421,2053,Forward Recall,forward,midday,2,6270.4,1,1,1,1,0
422,2053,Forward Recall,forward,evening,2,2094.2,2,0,0,2,0
423,2053,Forward Recall,forward,morning,1,4054.2,2,2,0,2,0
424,2053,Forward Recall,forward,midday,1,3158.3,0,0,0,0,0
425,2053,Forward Recall,forward,evening,1,1622.7,2,0,0,2,0
426,2054,Free Recall,FR,FR,1,76010.6,10,0,10,10,0
427,2055,Forward Recall,forward,morning,4,22543.3,15,15,15,15,0
428,2055,Forward Recall,forward,midday,4,14193.1,3,0,0,3,0
429,2055,Forward Recall,forward,evening,4,9444.9,2,2,2,2,0
430,2055,Forward Recall,forward,morning,3,30649.6,6,6,4,6,0
431,2055,Forward Recall,forward,midday,3,11600.2,1,1,1,1,0
432,2055,Forward Recall,forward,evening,3,12678.3,4,3,3,0,0
433,2055,Forward Recall,forward,morning,2,15513.4,3,2,1,3,0
434,2055,Forward Recall,forward,midday,2,6854.9,2,0,0,2,0
435,2055,Forward Recall,forward,evening,2,30988.4,10,8,7,10,0
436,2055,Forward Recall,forward,morning,1,6267.1,1,1,1,1,0
437,2055,Forward Recall,forward,midday,1,8978.9,4,3,0,4,0
438,2055,Forward Recall,forward,evening,1,8195.2,0,0,0,0,0
439,2056,Forward Recall,forward,morning,4,21799.8,3,3,3,3,-3
440,2056,Forward Recall,forward,midday,4,15225.4,12,12,12,12,0
441,2056,Forward Recall,forward,evening,4,12279.5,1,1,1,1,0
442,2056,Forward Recall,forward,morning,3,31474.6,10,10,9,8,2
443,2056,Forward Recall,forward,midday,3,14962.6,3,3,0,3,0
444,2056,Forward Recall,forward,evening,3,10890.4,3,3,3,3,0
445,2056,Forward Recall,forward,morning,2,8594.6,3,3,0,3,0
446,2056,Forward Recall,forward,midday,2,4565.8,3,0,0,3,0
447,2056,Forward Recall,forward,evening,2,4825.9,3,0,0,3,0
